kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K00826.01,CONFIRMED,CANDIDATE,1.0000,6.365839713,0.524,2.9721,780.7,2.44,914.0,165.33,70.80,5776.00,4.554,0.8490,15.090,0,0,0,0
K00827.01,FALSE POSITIVE,FALSE POSITIVE,0.0370,5.97581754,0.941,3.065,962.4,3.86,1047.0,284.25,50.30,6108.00,4.471,0.9970,15.546,0,0,1,0
K00839.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.446737317,1.241,4.7211,1177.9,26.25,1261.0,597.19,110.20,5764.00,4.548,0.8630,15.021,0,0,1,1
K00840.01,CONFIRMED,CANDIDATE,1.0000,3.04033046,0.736,1.8411,10858.8,8.99,1021.0,257.29,568.20,5035.00,4.519,0.7910,15.028,0,0,0,0
K00841.01,CONFIRMED,CANDIDATE,1.0000,15.33528675,0.773,3.897,3081.4,5,610.0,32.67,86.60,5251.00,4.581,0.8170,15.855,0,0,0,0
K00117.04,CONFIRMED,CANDIDATE,0.9980,7.95825328,0.706,4.377,50,1.06,1074.0,314.15,14.70,5847.00,4.191,1.4020,12.487,0,0,0,0
K00841.02,CONFIRMED,CANDIDATE,1.0000,31.33046135,0.798,5.176,5073.8,6.5,481.0,12.61,117.20,5251.00,4.581,0.8170,15.855,0,0,0,0
K00831.01,FALSE POSITIVE,FALSE POSITIVE,0.0060,3.9043425,0.709,3.831,16228.4,12.28,1104.0,351.05,323.40,5810.00,4.526,0.8980,15.016,0,1,0,0
K00832.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,9.286358079,0.377,3.49949,44791.4,17.61,796.0,95.03,1671.10,5670.00,4.523,0.8210,15.365,0,1,0,0
K00833.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,3.951405455,1.276,2.1862,2453.9,31.44,1133.0,388.71,117.20,6046.00,4.539,0.8690,15.446,0,1,0,0
K00834.01,CONFIRMED,CANDIDATE,0.9990,23.65369415,0.008,8.2183,3341.8,7.89,731.0,67.65,266.30,5739.00,4.191,1.3840,15.084,0,0,0,0
K00834.02,CONFIRMED,CANDIDATE,0.9960,13.23352214,0.014,6.7372,504.6,3.06,888.0,146.67,49.10,5739.00,4.191,1.3840,15.084,0,0,0,0
K00834.03,CONFIRMED,CANDIDATE,0.9970,6.15560285,0.235,4.9843,285,2.32,1146.0,406.94,35.10,5739.00,4.191,1.3840,15.084,0,0,0,0
K00834.04,CONFIRMED,CANDIDATE,1.0000,2.090811305,0.746,3.388,115.9,1.62,1642.0,1718.04,19.90,5739.00,4.191,1.3840,15.084,0,0,0,0
K00117.03,CONFIRMED,CANDIDATE,0.9950,3.180027898,0.196,3.5797,120.3,1.53,1458.0,1066.86,50.40,5847.00,4.191,1.4020,12.487,0,0,0,0
K00834.05,CONFIRMED,CANDIDATE,0.9890,50.4467417,0.379,7.159,370.3,2.67,568.0,24.64,19.40,5739.00,4.191,1.3840,15.084,0,0,0,0
K00835.01,CONFIRMED,CANDIDATE,1.0000,11.76307164,0.048,2.9076,1037.3,2.35,616.0,33.99,48.90,4959.00,4.603,0.7560,15.208,0,0,0,0
K00835.02,CONFIRMED,CANDIDATE,0.8780,56.2279271,0.7,3.57,862.7,2.37,366.0,4.22,20.90,4959.00,4.603,0.7560,15.208,0,0,0,0
K00836.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.384052875,1.178,3.0918,1268.1,17.06,1010.0,244.87,50.50,4794.00,4.580,0.7010,15.836,0,1,1,1
K00837.01,CONFIRMED,CANDIDATE,1.0000,7.953547,0.3,2.6312,875.4,2.25,696.0,55.37,38.40,4768.00,4.536,0.7790,15.660,0,0,0,0
